,Ticker,Price,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Gross Profit,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash Per Share,Current Ratio,Book Value Per Share,Cash Flow,Beta,Class
0,a,33.832,0.407,18.158125,2.8,6.01,29.56,11.97,24.95,47.81,12.803,25.83,3.84,2.73,13.2523125,2290000000.0,3.774,114.26923076923076,0.8,3.37,2.04,5.93,144000000.0,2.474,0
1,a,28.4626,0.375,18.158125,2.43,4.98,25.56,6.2,23.59,46.82,13.16,20.83,2.89,2.35,13.2523125,2290000000.0,3.391,114.26923076923076,0.8,3.49,2.284,6.394,144000000.0,2.496,0
2,a,21.8816,0.323,33.58,1.61,3.24,4.86,5.38,5.26,10.92,14.61,15.79,1.62,1.44,15.3,2290000000.0,0.71,114.26923076923076,0.8,4.75,2.441,7.32,483000000.0,2.547,0
3,a,20.2478,0.322,30.7,1.52,3.04,4.86,5.38,5.26,10.92,14.61,14.34,1.51,1.36,14.4,3120000000.0,0.71,114.26923076923076,18.6,4.71,2.446,7.329,663000000.0,2.166,0
4,a,31.7118,2.169,52.82,3.31,4.26,6.38,3.58,1.68,3.69,10.403,16.182499999999997,1.81,2.89,35.665,3120000000.0,0.66,64.9,22.8,4.555,2.169,8.095,890000000.0,2.021352941176471,0
5,a,32.5353,0.645,20.47,2.25,3.76,11.77,11.38,5.17,18.54,13.756,16.182499999999997,1.04,2.3,15.421,2970000000.0,1.57,20.8,8.9,4.916,2.207,8.741,969000000.0,1.55,0
6,a,30.6959,0.645,20.8,2.18,3.64,11.77,11.38,5.17,18.54,13.756,16.182499999999997,1.02,2.23,14.966,2970000000.0,1.57,20.8,8.9,4.916,2.207,8.741,969000000.0,1.45,0
7,a,30.2092,0.67,20.59,2.07,3.65,10.99,11.3,5.33,17.8,14.362,16.182499999999997,1.0,2.18,14.748,2970000000.0,1.53,20.0,8.8,4.265,1.896,8.622,880000000.0,1.46,0
8,a,17.7129,0.83,9.24,1.06,2.4,12.0,13.77,6.63,23.93,15.906,16.182499999999997,0.64,1.17,6.764,2970000000.0,1.87,28.3,2.4,4.083,2.421,7.311,756000000.0,1.33,0
9,a,22.5401,12.615411764705884,22.83,1.53,3.29,7.01,11.21,5.1,13.02,14.659,16.182499999999997,3.04,1.68,11.422,3200000000.0,1.02,114.26923076923076,25.1,4.112,2.623,7.045,581000000.0,1.25,0
10,a,37.8978,54.36,16.18,2.38,3.71,14.46,14.8,6.94,27.0,17.77,12.44,0.63,2.25,11.89,2930000000.0,2.52,85.2,31.9,8.55,3.2,11.36,13850000000.0,1.55,5
11,a,37.7129,51.62,13.17,1.98,3.06,15.71,16.01,7.25,28.96,18.67,12.06,0.66,1.88,9.42,2930000000.0,2.87,61.0,22.2,8.93,3.47,12.07,12170000000.0,1.61,5
12,a,43.3401,44.12,13.75,2.19,2.83,15.96,15.69,6.85,22.38,19.85,13.08,2.07,2.18,10.75,3600000000.0,3.13,22.2,2.8,7.06,2.55,15.41,1320000000.0,1.66,0
13,a,46.8817,56.39,17.74,2.32,3.31,13.73,14.04,5.98,19.41,19.8,15.09,2.16,2.32,11.93,3600000000.0,2.69,30.9,4.1,7.04,2.96,14.46,1260000000.0,1.81,0
14,aa,27.6539,0.595,24.92,1.33,2.41,6.4,8.44,4.52,10.66,25.638,12.98,1.26,1.65,10.8,4020000000.0,1.375,53.7,11.4,0.53,1.374,14.078,2530000000.0,1.808,0
15,aa,27.8072,0.561,20.88,1.26,2.34,7.04,9.46,5.08,11.87,25.984,12.75,1.43,1.56,9.7,4020000000.0,1.575,53.7,11.4,0.54,1.372,14.049,1780000000.0,1.676,0
16,aa,28.3231,0.53,21.15,1.26,2.34,7.01,9.57,5.13,11.58,26.536,13.49,1.47,1.52,9.53,4020000000.0,1.588,53.7,11.4,0.64,1.293,14.36,2140000000.0,1.736,0
17,aa,28.0546,0.53,20.69,1.25,2.33,7.01,9.57,5.13,11.58,26.536,13.2,1.5,1.49,9.36,4020000000.0,1.588,53.7,11.4,0.64,1.293,14.36,2140000000.0,1.736,0
18,aa,24.7565,0.457,18.43,1.1,1.95,7.02,9.39,5.12,11.17,26.757,11.96,1.12,1.34,8.57,4020000000.0,1.597,53.7,11.4,0.52,1.322,15.207,2140000000.0,1.611,0
19,aa,24.9837,0.457,18.39,1.08,1.92,7.02,9.39,5.12,11.17,26.757,11.89,1.39,1.33,8.5,4020000000.0,1.6,53.7,11.4,0.52,1.322,15.207,2140000000.0,1.611,0
20,aa,23.4578,0.543,22.716551724137933,0.667741935483871,1.81,4.665483870967742,8.41806451612903,0.0,0.0,28.27974193548388,11.83,1.38,0.9558064516129032,6.833064516129031,4860000000.0,1.347290322580645,39.7,9.2,0.57,1.131,15.305,1630000000.0,1.705,4
21,aa,25.2588,0.526,16.15,0.96,1.89,5.82,9.51,4.73,11.56,31.183,11.412999999999998,0.8,1.19,8.36,4940000000.0,1.8,133.8,16.4,0.528,1.183,15.945,1700000000.0,2.3,4
22,aa,27.6552,0.494,12.25,0.91,1.89,7.4,13.71,7.34,15.43,34.966,11.412999999999998,0.96,1.13,6.313,4940000000.0,2.57,60.3,17.6,0.583,1.045,16.798,2570000000.0,1.5,4
23,aa,30.9899,0.494,13.54,0.99,2.07,7.4,13.6,7.54,15.43,34.959,11.412999999999998,1.05,1.22,6.662,4940000000.0,2.57,60.3,20.0,0.582,1.258,16.798,2570000000.0,1.62,4
24,aa,34.6563,0.494,15.21,1.1,2.22,7.4,13.6,7.54,15.43,34.959,11.412999999999998,1.12,1.21,6.637,7060000000.0,2.57,60.3,20.0,0.582,1.258,17.684,2570000000.0,1.36,4
25,aa,35.5085,0.503,15.34,1.12,2.28,7.38,13.66,7.55,15.13,35.896,11.412999999999998,1.28,1.36,7.472,7060000000.0,2.63,8.9,11.2,0.483,1.338,17.684,3310000000.0,1.41,4
26,aa,33.9555,0.47,14.7,1.09,2.04,7.23,13.33,6.91,14.0,36.164,11.412999999999998,0.98,1.31,7.512,7060000000.0,2.59,3.9,3.5,1.321,1.353,18.978001,3960000000.0,1.48,4
27,aa,26.1401,0.499,9.51,0.77,1.49,8.34,11.42,5.78,16.78,35.721,11.412999999999998,0.95,1.02,6.567,7060000000.0,2.95,76.0,5.8,0.584,1.128,19.291,3110000000.0,1.69,4
28,aa,9.8033,0.672,4.28,0.25,0.5,5.91,9.27,4.39,11.25,36.161,11.412999999999998,0.42,0.57,4.207,6500000000.0,2.11,51.7,2.1,1.038,1.316,18.754999,1270000000.0,1.71,4
29,aa,7.5183,0.672,3.81,0.25,0.5,5.91,9.12,4.32,11.25,36.138,11.412999999999998,0.35,0.57,4.231,6500000000.0,2.11,51.7,2.1,1.038,1.316,18.754999,1270000000.0,2.1,4
